khemaka	安稳
cīvaradhovanaphalaka	搓衣板
bhaya ñāṇa	怖畏智
ekāyanamagga	唯一的道路
dukhindare	痛苦悲伤
vajirabāhu	金刚手
paṭisaṅkhā	审查
samādhisutta	定经
rūpakammaṭṭhāna	色业处
buddhānussati bhāvanā citta	佛随念修习心
anusaya	潜伏
juṇha	明亮
Vakkali	瓦伽利
kāyāyatana	身处
sañjaya	山吒亚
paṭibhānapaṭisambhidā	辩辨析
kiriyāhetukamanoviññāṇadhātu	唯作与因相关的意识界
နှင့်	与
词法基础知识	词法基础知识汇总表
janapadakathā	国土论
avijjāsaṃyojana	无明结
mandadasaka	蒙昧十年
sappāya sampajañña	适宜正知
nāmakammaṭṭhāna	名业处
vāya	风
balavasoka	有力的愁
puññavata iddhi	具福神变
kamma dvāra	业门
bhaṅga ñāṇa	坏灭智
paṭiccasamuppāda  aṅga	缘起支
Bhikkhunī	比库尼
arūpi	无色
nāḷi	rice measurment cup
vavatthāna	差别
asubhasaññā	不净想
-in	具有……者
paṭipadāñāṇadassanavisuddhi	行道智见清净
uggaha	学取
ucchedadiṭṭhi	断灭见
assāsa passāsa	入息与出息
Mahāgopālakasutta	大牧牛者经
ṭhānī	位置名词
sattaloka	有情世间
sāmīci	恭敬
Aggi Sutta	火经
lakuṇḍakaatimbara	喇衮德格·阿定跋勒
therīgāthā	长老尼偈
abhayagiri	无畏山
vaggumudā	瓦古穆达
