khemaka	安稳
dhammānussati kammaṭṭhāna	法随念业处
āpajjati	变成
bhante	尊者
adhipatipaccaya	增上缘
todeyya	多迭亚
vivaṭṭanā	还灭
DASD-S	<命名>表➡系
ayassa	恶名
līnapakkha	退缩组
appamāda	不放逸
jīva atta	命我
balavāhana	巴拉瓦哈叻
karaṇakosalla	作善巧
pariññeyya	应遍知的
korabyarañña	止恶族
anupassanā ñāṇaṃ	随观智
sammāpaṭipatti	正确行道
lokuttara magga ñāṇa	出世间道智
ṭhapanā	住
dīpakapallaka	灯盏
arūpī	非色的
pātimokkhasaṃvara	巴帝摩卡防护
dutiya jhāna samāpatti vīthi	第二禅定心路
ajjhattika āyatana	内处
upasamasukha	寂乐
sammattaniyāma	正性决定
aparantānudiṭṭhi	后际随见
နေစဉ်	当……的时候
cittā	姬达
vipassanādhura	观禅义务
anulomapaṭiccasamuppāda	顺序缘起
appanābhāvanā	安止修习
sakkāyadiṭṭhi	有身见
koḷivisa	寇利维萨
catuvesārajja	四种无畏
Mūlapariyāya  Sutta	根本法门经
saṅgayana-puccha vissajjanā dīghanikāye	结集问答 长部
avigatapaccaya	不离去缘
vimokkha mukha	解脱门
assāsapassāsa rūpadhamma	入出息色法
cakkhāyatana	眼处
evaṃdhammatānaya	如是法性法
ākāsakasiṇa	虚空遍
pharaṇa pīti	遍满喜
salakkhaṇarūpa	有相色
vasena@imp	vasena表达方式状语
utusamuṭṭha	时节生
cittta visuddhi	心清净
အကယ်၍ကား	转折连词
ganthaniya	顺系
nimittasampatti	标相的成就
kamma nimitta	业相
leṇagata	已去往安全者
အနက်၌	表达某种含义
suddha kattu	单一主题
vīmaṃsa	审查
sekkha puthujjana	有学凡夫
Sammākammanta	正业
atthuppatti	发生的故事
Saṃyuttanikāya	相应部
dhammabhāva	法的状态
hetu	因
chattamāṇavakavimāna	年轻的查塔天宫
therambatthala	长老芒果山
vimativinodanī-ṭīkā	vimativinodanī·复注
sattāvāso	有情居
aniccānupassanāñāṇa	无常频观智
javana	速行
lokuttaramagga	出世间道
āsāḷhanakkhatta	阿萨哈星座
nataṅgi	顶礼
vākyajotaka	句子关系连词
vivaṭaṅgaṇa	空旷地
paṭipadā	行道
lābhapariyanta	利得所限
sappāya	适
vālodaka	寡水
kasiṇa	遍
upanandasakyaputta	释迦子伍巴难达
cakkavattirajja	转轮王
buddhantara	[两尊]佛陀[出现]的间隔
kāya	身
uruvelā	乌鲁韦拉
kilesavatthu	烦恼本身
jātipuppha	快乐花
suddhāvāsabhūmi	净居地
nhānasāṭikā	水浴衣
raṇa	诤
aparisuddhatta	非完全清净的特性
lokavajja	世间罪
kammaṭṭhāna	业处
rājapurisa	国王的内侍
antaraghara	俗家
diṭṭhigata	主见的偏颇
kuṭaja	水梅
upaṭṭhapethā	保持
paṭṭhānapakaraṇa-mūlaṭīkā	众缘论·根本复注
pātimokkhapāḷi	巴帝摩卡
tebhūmakavipāka	三地的果报
vākacīra	树皮衣
mānasaṃyojana	慢结
kammajavāta	业生风
abhidhamma	阿毗达摩
Taṃ yathā?	如何举例？
viriyasaṃvara	精进律仪
၌စပ်	与……连用
takkasilā	塔克西拉
dutiya catukka	第二组四法
jetavana	揭德林
cittasampatti	心成就
atimāna	过慢
khoma	亚麻
micchāvāyāma	误精进
ājīvapārisuddhisīla	活命清净戒
brāhmaṇī	婆罗门女
tāluja	硬腭音
Nevācinati	无积累
maṅgalapokkharaṇī	吉祥池
medāḷupa	脂月
chattasalākā	伞骨
nītattha	了义
janakapaccaya	令生缘
pariyodāta	洁净
kāmaguṇanissitaṃ	依靠五欲
māsa	扁豆
vāsanā	熏习
pesi	囊胚
rūpa nāma dhamma	名色法
sundarī	孙达瑞
anāvaraṇañāṇa	无障碍智
paṭalikā	绣有花朵的羊毛毯
upagata	靠近
cūḷarohita	小赤
saṃvarasīla	防护戒
nāma loka	名世间
viññānpaccayā nāmarūpam	识缘名色
kattika	昂宿月
pariyantapārisuddhi	有限清净
kammanimitta	业相
suddhikasuññata	清净空性
majimanikaya	中部
kāliṅgarāja	迦陵伽国王
likkhā	虮
kāyasakkhī	身证者
paramattha sacca	究竟谛
Anatta lakkhaṇa Sutta	无我相经
indriyas	根
chando	诗律
Khuddikā pīti	小喜
kasiṇa bhāvanā	遍修习
āsevati	习
devaloka	仙界
kesamuttiya	发解村
bhūta	众生
mukhapuñchana	毛巾
appanā jhāna	安止禅
āpokasiṇa	水遍
aggābhā	火光
dibbasotadhātuñāṇa	天耳界智
ummattaka	疯狂者
PUR atthaṃ	动词
anupubbī kathā	次第论
ghānaviññāṇa	鼻识
sīlānussati	戒随念
diṭṭhivisuddhi	见清净
mahāsīva	马哈西瓦
lohabhāṇaka	铜缸
paṭipadā ñāṇa dassana visuddhi	行道智见清净
nhānacuṇṇamūla	汤沐邑
ariyasaṃgha	圣僧团
Samantamotthataṃ	完全遮盖
dibbacakkhulābhī	天眼获得者
uttamapurisa	无上者
cakkavatti	转轮王
saṃyutta	相应部
thīnamiddhavinodana āloka	驱除昏沉睡眠之光
cetanāya	思的
naḷeru	苇长(夜叉)
အဖို့၌	动机
cittaviveko	心远离
nimitta	相
mahānāga	大龙
cālā	吒喇
tisamuṭṭhānika	三种等起的
rūpakkhandha	色蕴
ajjhattikāyatana	内处
guḷāsava	甘蔗酒
abhiññā	神通
rūpāvacarakusalacetanā	色界善思
dat	目的格
velāma	维拉玛
anāpatti	豁免
paṇṇasāla	茅庐（沙罗树叶）
purisa	男子
chabyāputtehī	差比阿子
nirodhasamāpanna	灭尽定
SOI	<无连词>伴随关系
amatagata	已去往不死者
mahāuposathadivasa	大斋戒日
anattānupassanā ñāṇa	无我随观智
cittavāra	心转
vatthārammaṇa	事物所缘
byāpāra	加行
āmagandhasutta	《荤腥经》
theyyasatthasamuṭṭhāna	贼商等起
kaṇikārapadhāniyaghara	羊蹄甲精勤堂
orambhāgiyasaṃyojana	下分结
somadattakumāra	月施童子
sakadāgāmi	一来者
kammassakatāsammādiṭṭhi	业自性正见
sappayoga	有加行
micchāpatha	邪路
sugati bhava	善趣生
samādhisambojjhaṅga	定觉支
gāhagāhaka	执取能执者
peta	饿鬼
kāyika sukha vedanā	身乐受
Sammāpaṭipatti	正当行道
saṅkhatasaṅkhāra	有为行
dvādasāyatana	十二处
cha bāhirāni āyatanāni	六外处
nānappakārapaccayatā	缘之多样性
añña	其他
nāma kalāpa	名聚
Manu	摩奴
SV active participle	主动分词
rupavacara javana	色界速行
upaṭṭhapethā	保持
DAO-S	被动语态双宾语-次要
muta	觉知
kāraṇanaṃ	因由
muṭṭhivāraka	手壶
Cīrā	吉拉
puṇṇamukha	圆脸
paṭipadāñāṇadassanavisuddhi	行道智见清净
uggaha nimitta	取相
duka	二分（法）
danta	已调服
lobhasahagata	贪俱
kalyāṇadhamma	善法
titthakara	渡人师
kāma	欲
asurakāya	阿苏罗界
gotrabhū	种姓
aṭṭha samāpatti	八定
kathāvatthu	论事
ojādhātu	食素界
sakattabhāva	我的自我
ariya phala ñāṇa	圣果智
upacāra samādhi javana	近行定速行
mahāanuḷa	马哈阿卢拉
lokakkhāyikakathā	世界起源论
alobha	无贪
pānīyamāḷa	水厅
magga	道
abhidhammaṭṭhakathāya	阿毗达磨义注
thera	长老
ṭhita	住立
catutthajjhānakathā	第四禅论
pabbata	山岳
pathavīkasina	地遍
adv	副词
upāyāsa	恼
saṅkhatā	有为
pakatibhūmi	自然地
saradamāṇava	萨拉达青年
Jhanańga aṅga	禅支
kolarukka	拘拉枣树
navattabba dhammārammaṇa	不宜说法所缘
kaccānasutta	咖吒那经
vosānagata	已去往圆满者
vijjācaraṇasampanna	具足明智与践行
sadisūpacāra	等同近行
dhātuvibhaṅgavaṇṇanā	界分别注释
nigaṇṭhuposatha	外道的伍波萨他
koliya	果利亚族
majjhimanikaya-ṭīkā	中部·复注
piṇḍapātika	集食者
buddhi	觉悟
purejātapaccaya	前生缘
āhananapariyāhanana	撞击、循环撞击
indriya	根
jhāna vimokkha	禅那解脱
samūha paññatti	组合概念
၌	范围
AOR	过去式
ujjenī	屋杰尼
cūḷaniddesa-aṭṭhakathā	小意释·义注
yāvadatthacīvara	任意持衣
jihvā dvāra vīthi	舌门心路
adinnādānasamuṭṭhāna	不予取等起
bhagavant	世尊
santati paññatti	相续概念
ayonisomanasikāra	不如理作意
ပါလျက်	却
pubbabhāgapaṭipadā	前分行道
mahāniddesa	大义释
makacivāka	枣椰树纤维
mahāpurisa	大士
kāliṅgarāja	迦陵伽国王
vessantara	维山达勒
-ant	ant结尾的变格
gāthānamuddānaṃ	偈颂摄颂
devaloka	仙界
bāla	愚人
candavatī	月围
pānīyasaṅkha	水螺壳
cūḷāmaṇicetiya	宝冠塔
Bhikkhuvagga	比库品
sabhāva lakkhaṇa	自性相
kāma vatthu	欲物
dīghanikāyaṭṭhakathā	中部义註
kiccasiddhi	作用成就
suceḷa	妙衣
ruppana lakkhaņa	败坏之相
vedaṅga	吠陀的成份
abhisañcetayita	依于思
asītānubyañjanasarīrasobhagga	八十细形好
ukkaṭṭhaniddesa	殊胜义释
papañca	(轮回的)增生
anumodanavatta	随喜行仪
vasī	自在
visesa	特征
paṭṭhānapāḷi	24缘
attabhāva	自体
gocaragāma	托钵村
jātisampadā	种姓成就
jhāna	禅那
mātikā	大纲
upakkilesa	随烦恼
visesena	特意
kāyasamphassa	身触
rūpakammaṭṭhāna	色业处
saradaṇḍaka	箭杆
titthiya	外道
idaṃsaccābhinivesa	执此为真实的
upanissayapaccayaniddesa	亲依止缘广释
parisappana	犹豫
desanāvilāsa	美妙的教育
rūpavipariṇāmaññathābhāva	色的不定变易
sāliyava	稻麦
DIS-S	表➡系(被动)
vedanākkhanda	感受的集合
kāmasugatibhūmi	欲善趣地
STC	时空连续 ➡ 持续动作
mettagūmāṇavapucchāniddesa	慈俱青年所问义释
imp@gen	属格作方式状语
catunikāyikatissa	四部持者帝思
sammasana ñāṇa	思惟智
Gehasita	依靠[感官渴爱的]家
nibbānappatta	已到达涅槃者
suttantapariyāya	经教法
saggakathā	天界论
tikkhapañña	锐慧
bhūta	众生
ṭhapetvā	除了
citta samuṭṭhāna rūpa	心生色
kilesā	染
pāpicchatāniddesa	《恶欲广释》
āsittapaṇḍaka	口淫潘达咖
anugamana	跟随
paṭisandhicitta	再续（前缘之）心
santāna	相续流
tatramajjhattupekkhā	中舍性舍
magha	马喀
paṭisandhiviññāṇa	结生识
pañcapakaraṇa	五论
citta visuddhi	心清净
attavādupāda	我语取
indriya	根
maṃsavaṇijjā	肉食品生意
licchavikumāra	离车族王子
bhattabhatikaseṭṭhi	饭食工富翁
viññāṇaṭṭhiti	识住
titthāyatana	外道所依处
kallavālaputta	猛子村
mano dvāra	意门
kāliṅga	咔琳噶
pakappanā	策划
sippalivana	木棉树林
asammoha paṭiveda	无痴通达
virāgadhamma	离法
upādiṇṇupādāniya	执取与所执
ratanaparitta	宝护卫
ānāpāna kammaṭṭhāna	入出息念业处
arūpokāsa	非色域
āgama	阿含
vigatūpakkilesa	离随烦恼
cittajavāta	心产生的风
lābhamacchariya	利得悭
paññattividhi	制戒方式
piṅgalarañña	宾嘎拉王
majjhima neyya puggala	中等应被引导者
ghāna dvāra vīthi	鼻门心路
byāpāda kāyagantha	瞋恚身系
jaṭilaka	嘉提拉科
ātatavitata	弦鸣乐器
kaṭattārūpa	业所造色
utu  sappāya	气候适宜
Paṭiccasamuppanna	缘所生
mahākappina	马哈咖比那
sañña	想
padapūraṇa	偈诵填词
vippayuttapaccaya	不相应缘
kāmavacara mahākusala manodvārika javana vīthi	欲界大善意门速行心路
jāti	生
majjhedīpaka naya	中灯法
uposathāgāra	伍波思特堂
phusana	碰触
macchariyaseṭṭhi	守财奴富翁
saṃvega ñāṇa	悚惧智
saṃsaya	疑虑
dāyajjaupasampada	继承达上
upādānasampayutta	取相应
pānīyamāḷa	水厅
abhayappatta	已达到无畏者
satisampajaññā	念与正知
kīṭāgiri	奇达山
upekkhā sati pārisuddhiṁ	舍念遍净
sīlakkhandhavaggapāḷi	戒蕴品原典
paṭigha	厌恶
sacittaka	故意
OV passive verb	被动动词
sugata	善至
paṭiccasamuppannādhamma	缘生法
daharasāmaṇera	小沙马内勒
nagaraguttika	京兆尹
viññaṇaṭṭhiti	感知停靠处
Vasundhara	瓦孙大拉
navattabba	不可说
vidatthi	拃
rūparūpa	完成色
byāpādanīvaraṇa	嗔恚盖
lokadhamma	世法
parideva	悲
niyyānika	出离
manokamma	意业
diṭṭhadhamma sukhavihārānisaṃsā	现法乐住功德
undefineda jarāmaraṇa！’	生缘老死
DEF_api	转折条件
mahākusala vipassanā manodvārika javana vīthi	观禅意门大善速行心路
paccaya	缘
ubhatobyañjanaka	两性者
Susima Sutta	《苏西玛经》
ādikammika jhānalābhī puggala	初获禅者
pāḷi	圣典
paramapattippatta	最高成就获得者
padaṭṭhāna	足处
kambala	毛织品
byādhi	疾病
atthatakathina	铺展卡提那
mahāvagga-aṭṭhakathā	大品·义注
kāsika	咖西国
pubbabhāgasatipaṭṭhāna magga	前分念处道
sammasana	思惟
araññasenāsana	林野坐卧处
itthipumanapuṃsaka	在三性
sāgala	萨嘎勒
vatthuaparāmasana	未提及对象
upādānakkhandā	五取蕴
titthiyasāvaka	外道弟子
OV@nom	主格作逻辑宾语
dantaja	齿音
sakkaṭa	梵语
a-dukkha- ma-sukha	不苦又不乐
nimittakusala	善于相
စွမ်းနိုင်၏	能够
sīlavipatti	戒失坏
Mūlaṭīkā	根本复注
dveḷhaka	疑念
sahetukaduka	有因二法集
paṭiccasamuppannadhamma	缘生法
vālodaka	寡水
dutiyādimaggavipāka	第二道果报
salakkhaṇarūpa	有相色
handāhaṃ	啊
magga kicca	道责任
dīghāvu	长寿
nānākkhaṇikakammapaccaya	异刹那业缘
kuru	止恶
kuhiñci	任何地方
paccayuddesa	缘广释
asakyaputtiya	非释迦子
aniccā nupassana ñāṇa	无常随观智
vinataka	象鼻山
mahākriyā javana vīthi	大唯作速行心路
cittaja ojaṭṭhamaka rūpa	心生以食素为第八的法聚
paṭhama jhāna kathā	初禅论
aggaññasutta	《知源经》
nītattha	了义
cakkhuviññāṇadhātuya	眼识界
nāmagottakitta	种姓名称
sammāvācā	正语
Patisam	无碍解道
MOT verb phrase	动词
itibhavābhavakathā	如是有无论
cakkayuttakayāna	轮式车乘
rupāvacara  samādhi	色界定
subhāvita	已善修习
jambuka	瞻部格
cūḷapāla	小护
lokiyavipāka	世间异熟
veramaṇisikkhāpada	"远离"学处
pāramī	巴拉密
abyāpajjha	无排斥
vīriya	精进
nimitta kosalla	禅相善巧
gambhīrañāṇacariya	深奥智行
chanda	欲
ānāpānassati jhāna samādhi	入出息念禅定
āpodhātu	水界
janakakamma	令生业
tissadatta	帝思答塔
saññāpubbaṅgamatā	以想为先导
vadhaka lakkhaṇa	杀人者相
micchāsati	错误的铭记
sukhavihara	乐住
dhammapada	《法句》
devadaha	天湖
viññāṇañcāyatanasaññā	识无边处想
diṭṭhicarita	见行
nīlakasiṇa	青遍
sampayuttapaccaya	相应缘
patthanā	愿求
sañjīva	山基瓦
navanīta	生酥
sāratthappakāsinī	阐明心义
manāyatana	意处
gāhamuttaka	解脱能执者
kāyapayoga	身体的努力
pubbabhāgapaṭipadā	前分行道
micchājīva	邪命
mūlabhūta	关键方法
saṅgha	僧团
kosambikajātaka	《高赏比住者本生》
Tāvatimsā	第六层天
ānāpānassati kathā	入出息念论
sūrakathā	英雄论
āsaya	留存
vigatābhijjha	离贪
saddheyyavatthu	应信之事
maddī	玛蒂
passāvamagga	阴道
akappiyasamādānāpattita	不应做受持罪
lakkhaṇahāra netti naya	取相指导法
pāveyyaka	巴威雅咖
vipassanāyāna	观乘
āyasmant	具寿
apalāla	阿巴拉叻
samudayavayadhammānupassī	随观生灭之法
aḍḍhayoga	半檐屋
vatthu	依处
viññāṇakāya	识身
ekūposatha	同一布萨
rohinī	罗希尼
maddakucchi	压腹园
sa​​mbhavo	起源
cundasūkarika	准德屠夫
sūkarapeta	猪鬼
sukhañca kāyena paṭisaṁvedeti	以身受乐
abhayagata	已去往无畏者
cāṭi	广腹罐
koṭigata	已去往顶端者
kappaka	咖巴格
Visuddhimagga	《清净道论》
paccayo	缘
maraṇassati	念死
īsadhara	持轴山
kusalābyākatā	善无记
setavaccha	白水蓑衣鱼木
cittajarūpa	心生色
saṅkhārabhājanīyasutta	行分别经
Sammohavinoanī	《迷惑冰消》
rājadvāra	皇门
ānāpānassati sutta	入出息念经
active voice	主动语态
upekkhānubrūhanā	中舍的培育
anusiṭṭhi	忠告
pāpakamma	恶业
nānattasaññā	种种想
Rūpakammaṭṭhāna	色业处
vihārūpacāra	寺院近行处
acc verb phrase	动词
paṇītabhojana	胜妙的食物
dhammaṭṭhitatā	法住性
vipākasaṅkhepa	果报的略说
caṅkamasutta	经行经
pātimokkhasīla	巴帝摩卡戒
āsevana satti	重复力
abbuḷhesika	拉出门阶者
ruppana lakkhaņa	败坏之相
vimocayaṁ cittaṁ	解脱心
bhamakārantevāsī	拉坯工的学徒
lohakhilaka	铜柱
vūpasanta	已寂止
kaṭāha	盆
pharaṇa pīti	遍满喜
godhika	果缇格
Dhammacakkapavattana Sutta	《转法轮经》
upacārabhāvanā	近行修习
avinipātadhamma	不掉入苦处的真理
dhammasaṅgaṇī	法集
corakathā	盗贼论
buddhānussati bhāvanā	佛随念修习
pavatta	生命期间
daṭṭhavisa	通过咬带来的毒
sabbanimitta	外相
ajjhattabahiddhārammaṇa	内外所缘
pītisahaga	喜俱
paṭiggāha	执取
visikhākathā	街道论
cetasika somanassa	心悦
avaroja	阿瓦若嘉
sakadāgāmina	二果圣者
rūpa pariggaha	色摄受
navakatara	新出家的比库
moḷiyaphagguna	摩利雅帕古纳
sumanadevī	苏玛那天女
upekkhāsukhabhūmi	舍乐地
kāyānupassanā satipaṭṭhāna bhāvanā	身随观念处修习
sīlabbataparāmāsasaṃyojana	戒禁取结
mahāvisa	大毒药
ajitamāṇavapucchāniddesa	阿吉德青年所问义释
vodānadhamma	净化之法
niyatamicchādiṭṭhi	定邪见
marīcikammaṭṭhāna	蜃景业处
voṭṭhabbana	确定
sallakkhaṇa	识别
nānākkhaṇikakammapaccaya	异刹那业缘
mahākriyā javana vīthi	大唯作速行心路
mahāpanthakavatthu	《大路生的故事》
uppannattikaṃ	三生法
manodvārika javana	意门转向
visuddhi	清净
yogabhāga	经目的细分
gamikavatta	外出者行仪
samupagata	接近
aparāpariyavedanīya	顺后受
amanāpi	不可意
pāpuṇi	实现
kattu	施动者
kusalakamma patha	善业道
khaṇika bhaṅga	刹那坏灭
kammaphalūpajīvi	依靠业结果生存
dukhasaññā	苦想
vipassanā ñāṇa cakkhu	观智之眼
majjhimanikaya	《中部》
appaṇihitapaṭipada	无愿行道
gocarāsevana	行处
balavāhana	巴拉瓦哈叻
tadaṅga pahāna	彼分断
saṅkhārupekkhā	行舍
sammutibrahma	认定梵
uggaha nimitta	取相
himavanta	喜马拉雅山
cittavisaṃsaṭṭha	心不相杂
Suttanta	经
paccuppanne vaṭṭamūlakadukkha	现在世的源于轮回之苦
sujātatthera	善生长老
āvāsapalibodha	居留限制
vibhaja	剖析
pakatūpanissayapaccaya	自然亲依止缘
dhātukusalata	界善巧
kālakañjika asura	咖拉甘吉伽阿修罗
nālaka	纳拉咖
somadatta	月施
viññāṇakkhandha	识蕴
abrahmacariya	非梵行
supaṇṇamāṇavaka	青年金翅大鹏鸟
rūpāvacaracatuttha	色界第四
adv@acc	宾格作副词
licchavi	离差维
ajjhattattikaniddesa	内三法义释
micchattāniyata	不定邪
gaṇasaṅgaṇika	众中聚集
Paṭisandhinibbattaka	产生再次拥有生命
ရ	……到
cūḷasumana	小妙意
apāyabhūmi	恶趣地
asubha nimitta	不净禅相
nāgapabbata	龙山
abhiñña	六通
bandhujīvaka	玫瑰
rājā	国王
arūpa pariggaha	非色摄受
himavantapadesa	雪山区域
aniccatā	无常性
ādhāra	基础
REC	接收者 ➡ 授予
appanākammaṭṭhāna	安止业处
tiṇasākiyā	草释迦众
ganthadhura	教理义务
nandā	难达
phassapañcamaka	触为第五的
Kvacī tikasmā?	为什么（经目）有“kvāci （有时）”这个字呢？
pakata	出色执行
kāmasugatibhūmi	欲善趣地
nirodho sacchikataṃ	[苦]灭已被实现（体证）
sukhakumāra	快乐童子
suññatapaṭipada	空性行道
sālavana	娑罗树林
Buddha	佛陀
cūḷavedallasutta	小智得经
āmalakavaṭṭakapīṭha	圆脚椅
dvanda	并列式复合词
samatha	止
arahā	阿罗汉
Vaggahaṇena	va字的意思是：
nivāraṇa	盖
vibhattivipallāsa	非常规变格
saṃsedaja	湿生的
assasanto	在入息
ekasāṭaka	一衣
visayakhetta	境界刹土
Bandhumatī	般度玛提
pītisahagata	喜俱
ājīvaka	活命外道
nāmasaññā	名称概念
kāmāvacararūpāvacaravipākā	欲界、色界果报
kocchaka	草编椅
upamā	比喻
viññāṇañcāyatana	识无边处
anupasampannasīla	未达上戒
tappurisa	偏正短语
appana javana vīthi	安止速行心路
Susima	苏西玛
pañhāvāra	答分
abyākatacitta	无记心
mahāpadumajātaka	大红莲本生
sattasūriya	《七个太阳经》
Saṅkhārakkhandā Vibhaṅga	行蕴分别
mahaggata appanā jhāna javana	广大安止禅那速行
tisamuṭṭhānā	三重等起
suta	闻
sotapasāda	耳净色
dhammapada	《法句》
sacca	谛
anāmantacāra	未请求而行
sappāyasampajañña	适宜正知
abhisaṅkhata	所造
rec	接收者 ➡ 授予
ārammaṇavavatthāpana	确定所缘
phala kicca	果责任
anattānupassanāñāṇa	无我频观智
vikkhambhanapahāna	镇伏断
buddha	佛
parimukhaṃ	在鼻下口上处
-ita	具有……者
saññā	想
koñca	鹭鸶
anāthapiṇḍika	给孤独
āhāraja ojāṭṭhamaka	食生食素为第八的
saṃsedaja	湿生的
nevasaññānāsaññāyatana	非想非非想处
ñatticatutthakammūpasampadā	白四甘马达上
phalasamāpatti	果定
apatthayāna	不渴望者
kammassakatā paccavekkhaṇa	业自性省察
uparipaṇṇāsa	顶端五十
khandhaparitta	《蕴护卫》
saṃvaṇṇetabba	应被解释的
ahetuka	无因
pakāsana	初显
ārogya	无病（健康）
manopubbaṅgama	意先行
cittajasaddanavakakalāpa	心生以声为第九的色聚
somanassadomanassa	喜忧
dhajaggaparitta	《旌旗顶护卫》
paḷāsa	蛮横
upekkhāya	舍受
āhāra	食
sīmā	界限
ñattikamma	提案甘马
ucchedavāda	断灭论
paccekabuddha	独觉佛
bhaddiyanagara	吉祥城
vāsanā	熏习
ānāpānassati kathā	入出息念论
kiccarasa	功能性影响
aniyata	不定性
cīrā	吉拉
ahetukapaṭisandhi	无因结生
maghavā	马喀瓦
cūḷapāla	小护
《Anupada Sutta》	随句经
nibbānappatta	已到达涅槃者
udaya ñāṇa	生智
sabyañjana	有文
paṭinissaggānupassanā	定弃观
sāmivacanasamāsa	属格复合词
tādi	如如不动者
pariññeyyaṃ pariññātaṃ	应被遍知的苦已被遍知
appodakamadhupāyasa	无水蜜乳粥
ākāsānañcāyatana jhāna	空无边处禅
cāpālacetiya	加巴拉塔
gocaragāma	托钵村
daṇḍavagga	《棍棒品》
kosajja)	懈怠
gandhakumāra	香童子
micchāpaṭipatti	邪行道
rukkhadhammajātaka	《树法本生》
sīlabbataparāmāsa kāyagantha	戒禁取身系
vessantarajātaka	维山塔拉本生
abhidhammaṭṭhakathā	阿毗达磨义注
Vasudhā	瓦苏大
vipākāvaraṇa	果报障
na sevitabba	不应依止
kesa	发
vitakkana	贯注
iddhividhañāṇa	神变智
cūḷaratha	小车
sūkaramaddava	嫩猪肉
lahutā	轻快性
mahāsamayasutta	大集会经
vippayuttadhamma	不相应法
antimavatthu	边事
mūlaphala	球根
nandamūlakapabbhāra	庆本坡
migadāya	护鹿苑
ovādapātimokkha	教诫巴帝摩卡
dhātu2	词根
mahāli	马哈离
phusanānaya	接触法
uruvelakassapa	伍卢韦喇城的迦叶
တိုင်အောင်	距离,长度的整数
khuddakanikāya	小部
pariññeyyaṃ pariññātaṃ	应被遍知的苦已被遍知
nevasaññīnāsaññībhava	非想非非想有
dhammadinna	法授
pariññā	遍知
saṃvuta	已防护
sosika	肺痨者
Jambuka	瞻部格
kammavādī	业论者
sabbāsavasuttavaṇṇanā	《一切漏经注释》
parivīmaṃsasutta	《彻思经》
tajjākāyaviññāṇadhātu	相应的身识界
sikkhāpaccakkhātaka	弃学者
añjanī	眼药壶
nīvaraṇagocchaka	盖组
avipakkavipāka	尚未成熟为果报
tatramajjhattupekkhā	中舍性舍
samudayadhammānupassī	随观生起之法
ārammaṇasaṅgaha	摄所缘
anāgāmī	不来者
vijjā	[三]明
kiriya	唯作
sabhāva	本质
bhikkhunivibhaṅga	比库尼分别
upakāraka	资助
magga	道
kukkucca	追悔
amusmiṃ	某某（人或事）
Mahāsammata	大选王
sattabbhantarasīmā	七阿邦塔那界
nidāna	来源
paññindriya	慧根
rūpasāri	颜心
samaye	适时
anantarapaccaya	无间缘
anupādisesanibbānadhātu	无余涅槃界
dibbasampatti	天界的待遇
pavāraṇa	[自恣]邀请
paccaya pariggaha ñāṇa	缘摄受智
pabbhāra	山谷
cha ajjhattikāni āyatanāni	六内处
sāsanā	教法
akusalavipākamanoviññāṇadhātu	不善果报意识界
စွာ	地
manoviññeyya	意界所识
[paṭiccasamuppāda	缘起
domanassa	忧
upādāna	取
vaṇṇanā	注解
patibhāga nimitta	似相
Pakiṇṇakaparicchedo	杂章
pubbapetakathā	先亡论
Vakkali Mahāthera	瓦伽利大长老
နှင့်	与
haṃsavati	天鹅围
hadayavatthu rūpa	心所依处色
puggalaaparāmasana	未提及个人
aniccānupassanā	随观无常
vigatūpakkilesa	离随烦恼
udayabbayānupassanā	生灭随观
abhiñña	六通
rūpavibhatti	色法的详细分类
yojana	由旬
lakkhaṇādicatukka	特相
Abhaya	无畏
sahetudhamma	有因的法
pacchājātapaccayata	后生缘性
asevitabba	不应依止
yoganiya	顺轭
gatiyo	趣
vitakkasahajāta	与寻俱生
dukkha domanassa vedanā	苦、忧受
campā	瞻波城
maraṇadukkha	死苦
adukkhamasukhabhūmi	不苦不乐地
rūpabhūmi	色方面
sacchikaroti	亲证
satapākatela	百煮[药]油
oparajja	储君
ñāta pariññā paññā	知遍知慧
vacchāyana	瓦查呀那
abhisaṅkhata	所造
Dhātukathā	《界论》
nāḷikerahīra	椰壳纤维
titthakara	渡人师
paṭipatti	行道
paṭicca	缘
sammādiṭṭhi ñāṇa	正见智
ekavacana	单数
kammaviññāṇa	业识
satta	有情
asubhajjhāna	不净禅
dutiyabhāṇavāra	第二诵分
paramatthamañjūsā	《胜义宝函》
Cakkavāḷa	轮围山
kākaṇikā	咖格尼咖
chandādhipateyyasuddhikapaṭipada	被欲主导的清净行道
ti	三性词
sambhavanti	生起
asevitabba	不应依止
saṃkiliṭṭha	烦恼
loka upamā	世间比喻
saddhāvimutta	信解脱
upatissā	伍巴蒂萨
လေ့	经常
tambapaṇṇidīpa	铜掌岛
lov@dat	目的格表示动作方向
arūpāvacaracitta	无色界心
တပါး	此外
sikkhāpaccakkhāna	舍戒
kāyamuduta	身柔软性
pitta	胆汁
cakkhuviññāṇa	眼识
udarapaṭala	腹膜
bhikkhunī	比库尼
aparamattha	非究竟法
phoṭṭhabbadhātu	触界
khantī	忍耐
seyyohamasmīti mana	过慢
diṭṭhigatasampayuttalobhasahagatacittuppāda	邪见相应贪俱名聚
arūpāvacaracitta	无色界心
usūyapaṇḍakaa	羡慕潘达咖
pr	现在式
hetuvippayutta	因不相应
idaṃsaccābhinivesa kāyagantha	执持此是真实身系
gilānupaṭṭhāka	照顾病患的人
paṭikūla	可厌
